NSN,rep_office,common_name,Description,Price,UI,AAC
4240-01-292-2818,General Products,Safety Goggles,Wrap around style goggles for use as primary eye protection while performing any job that can possibly produce eye-damaging debris. Indirect ventilated goggles permit the passage of air and may prevent the direct passage of liquids from chemical splash ha,6.59,PR,H
4240-01-434-4559,General Products,Goggles,"Industrial goggles provide eye protection from chemical splash. Plastic lenses conform to American National Safety Standards. The soft, form-fitting plastic frame features six protected vents wherein debris would have to make a 90 degree turn to enter. Ad",9.43,EA,H
4240-01-463-5449,General Products,Disposable Particulate Respirator,"Does not have an exhalation valve. Lightweight, low-profile design provides worker comfort and minimizes interference with eye protection. NIOSH N95 protection provides protection against non-oil particulates and is 95 percent efficient. Designed to funct",71.3,BX,H
4240-01-492-0177,General Products,Disposable Particulate Respirator,"Includes an exhalation valve. Lightweight, low-profile design provides worker comfort and minimizes interference with eye protection. NIOSH N95 protection provides protection against non-oil particulates and is 95 percent efficient. Designed to function a",33.35,BX,H
4320-00-852-9036,General Products,Tire Pump,"Portable, low-pressure rust-resistant pump has a 24"" rubber air hose with a screw-on connector and check valve to stop back pressure. Has a single or dual footrest plate, a metal barrel with a steel plunger rod, a replaceable leather cup and a T-handle.",32.21,EA,H
4460-01-443-4895,General Products,Electronic Air Freshener,"Refill cartridges for the Optimum 3000 Air Freshener, are 4460-01-443-4896 (Lemon Fragrance) and 4460-01-443-4897 (Potpourri Fragrance) or equal. Air filtration and odor-eliminating unit provides the power of HEPA air filtration combined with the exclusiv",371.88,EA,H
4460-01-443-4896,General Products,Air Freshener Cartridge,"Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",52.6,SE,H
4460-01-443-4897,General Products,Air Freshener Cartridge,"Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",52.6,SE,H
4510-00-202-7775,General Products,Lavatory Drain,"2"" Diameter drain flange with 1-1/4x6"" tail piece. Drain is for use in wash basins, sinks and laundry tubs and consists of a tail piece, drain tube, jam nut, rubber stopper and 10"" bead chain and ring. Copper or stainless steel drain has crossbars to catc",9.63,EA,H
4510-00-203-2707,General Products,Soap Dispenser,"Hand-operated dispenser delivers measured amounts of soap. Screws and brackets are included for mounting dispenser on the wall. For use with liquid soaps, dispensed using a pump action design.",8.82,EA,H
